Date,Max Temp,Min Temp,Rain
28/02/1949,66,30,FALSE
01/03/1949,55,38,FALSE
02/03/1949,54,41,FALSE
03/03/1949,61,38,FALSE
04/03/1949,58,34,FALSE
05/03/1949,57,38,FALSE
06/03/1949,53,41,FALSE
07/03/1949,48,40,FALSE
08/03/1949,48,38,TRUE
09/03/1949,54,33,FALSE
10/03/1949,56,39,FALSE
11/03/1949,60,41,FALSE
12/03/1949,47,43,TRUE
13/03/1949,49,41,TRUE
14/03/1949,48,41,TRUE
15/03/1949,54,38,TRUE
16/03/1949,55,42,TRUE
17/03/1949,58,43,TRUE
18/03/1949,63,44,TRUE
19/03/1949,55,44,TRUE
20/03/1949,48,41,TRUE
21/03/1949,52,37,FALSE
22/03/1949,53,33,FALSE
23/03/1949,55,33,FALSE
24/03/1949,54,36,FALSE
25/03/1949,53,38,TRUE
26/03/1949,52,37,TRUE
27/03/1949,52,32,FALSE
28/03/1949,51,30,FALSE
29/03/1949,43,35,TRUE
30/03/1949,49,35,FALSE
31/03/1949,55,30,FALSE
01/04/1949,46,38,TRUE
02/04/1949,55,38,FALSE
03/04/1949,62,34,FALSE
04/04/1949,72,40,FALSE
05/04/1949,57,40,TRUE
06/04/1949,64,36,FALSE
07/04/1949,51,38,FALSE
08/04/1949,60,43,FALSE
09/04/1949,71,41,FALSE
10/04/1949,67,43,FALSE
11/04/1949,58,43,FALSE
12/04/1949,58,42,FALSE
13/04/1949,55,40,FALSE
14/04/1949,73,35,FALSE
15/04/1949,71,42,FALSE
16/04/1949,58,45,FALSE
17/04/1949,54,39,FALSE
18/04/1949,53,45,FALSE
19/04/1949,55,43,TRUE
20/04/1949,57,43,TRUE
21/04/1949,54,42,TRUE
22/04/1949,55,40,TRUE
23/04/1949,58,43,TRUE
24/04/1949,59,41,FALSE
25/04/1949,59,43,TRUE
26/04/1949,69,40,FALSE
27/04/1949,63,43,TRUE
28/04/1949,61,46,TRUE
29/04/1949,52,39,FALSE
30/04/1949,55,38,TRUE
01/05/1949,52,43,TRUE
02/05/1949,54,40,TRUE
03/05/1949,56,37,FALSE
04/05/1949,59,38,FALSE
05/05/1949,72,36,FALSE
06/05/1949,70,46,FALSE
07/05/1949,77,47,FALSE
08/05/1949,77,47,FALSE
09/05/1949,74,46,FALSE
10/05/1949,73,44,FALSE
11/05/1949,80,48,FALSE
12/05/1949,78,51,FALSE
13/05/1949,77,50,FALSE
14/05/1949,76,47,FALSE
15/05/1949,65,49,FALSE
16/05/1949,59,45,FALSE
17/05/1949,65,45,FALSE
18/05/1949,78,48,FALSE
19/05/1949,61,47,TRUE
20/05/1949,68,48,FALSE
21/05/1949,70,48,FALSE
22/05/1949,71,52,FALSE
23/05/1949,76,48,FALSE
24/05/1949,68,51,FALSE
25/05/1949,71,47,FALSE
26/05/1949,71,46,FALSE
27/05/1949,61,51,TRUE
28/05/1949,65,47,FALSE
29/05/1949,67,45,FALSE
30/05/1949,66,47,FALSE
31/05/1949,64,47,TRUE
01/06/1949,64,47,TRUE
02/06/1949,67,46,FALSE
03/06/1949,74,45,FALSE
04/06/1949,80,50,FALSE
05/06/1949,84,52,FALSE
06/06/1949,83,53,FALSE
07/06/1949,72,45,FALSE
08/06/1949,79,47,FALSE
09/06/1949,76,50,TRUE
10/06/1949,68,52,FALSE
11/06/1949,74,47,FALSE
12/06/1949,74,46,FALSE
13/06/1949,74,47,FALSE
14/06/1949,80,47,FALSE
15/06/1949,68,43,FALSE
16/06/1949,65,44,TRUE
17/06/1949,73,44,TRUE
18/06/1949,77,46,FALSE
19/06/1949,66,49,TRUE
20/06/1949,71,52,TRUE
21/06/1949,74,49,FALSE
22/06/1949,63,51,FALSE
23/06/1949,68,51,FALSE
24/06/1949,64,47,TRUE
25/06/1949,64,45,TRUE
26/06/1949,63,46,TRUE
27/06/1949,61,45,TRUE
28/06/1949,61,45,TRUE
29/06/1949,64,45,TRUE
30/06/1949,73,43,FALSE
01/07/1949,70,45,FALSE
02/07/1949,72,48,FALSE
03/07/1949,75,45,FALSE
04/07/1949,72,43,FALSE
05/07/1949,68,50,FALSE
06/07/1949,69,45,FALSE
07/07/1949,74,50,FALSE
08/07/1949,80,49,FALSE
09/07/1949,83,54,FALSE
10/07/1949,82,50,FALSE
11/07/1949,75,52,FALSE
12/07/1949,83,49,FALSE
13/07/1949,86,50,FALSE
14/07/1949,85,57,FALSE
15/07/1949,78,55,FALSE
16/07/1949,72,54,FALSE
17/07/1949,77,51,FALSE
18/07/1949,68,53,TRUE
19/07/1949,66,53,TRUE
20/07/1949,69,52,FALSE
21/07/1949,71,50,FALSE
22/07/1949,68,54,FALSE
23/07/1949,66,55,TRUE
24/07/1949,70,52,TRUE
25/07/1949,62,54,TRUE
26/07/1949,65,51,TRUE
27/07/1949,69,50,TRUE
28/07/1949,75,51,FALSE
29/07/1949,80,51,FALSE
30/07/1949,80,55,FALSE
31/07/1949,86,56,FALSE
01/08/1949,92,62,FALSE
02/08/1949,74,55,FALSE
03/08/1949,71,55,FALSE
04/08/1949,73,55,TRUE
05/08/1949,74,53,FALSE
06/08/1949,66,54,TRUE
07/08/1949,67,53,TRUE
08/08/1949,73,54,FALSE
09/08/1949,74,51,FALSE
10/08/1949,73,53,FALSE
11/08/1949,70,57,TRUE
12/08/1949,68,49,TRUE
13/08/1949,72,51,FALSE
14/08/1949,71,48,FALSE
15/08/1949,78,50,FALSE
16/08/1949,72,58,FALSE
17/08/1949,77,54,FALSE
18/08/1949,77,52,FALSE
19/08/1949,81,50,FALSE
20/08/1949,73,52,FALSE
21/08/1949,73,55,FALSE
22/08/1949,75,49,FALSE
23/08/1949,76,50,FALSE
24/08/1949,70,49,TRUE
25/08/1949,71,53,FALSE
26/08/1949,76,48,FALSE
27/08/1949,80,52,FALSE
28/08/1949,85,56,FALSE
29/08/1949,83,55,FALSE
30/08/1949,68,53,TRUE
31/08/1949,75,55,FALSE
01/09/1949,78,50,FALSE
02/09/1949,77,51,FALSE
03/09/1949,82,59,FALSE
04/09/1949,83,62,FALSE
05/09/1949,81,61,FALSE
06/09/1949,87,55,FALSE
07/09/1949,85,53,FALSE
08/09/1949,75,51,FALSE
09/09/1949,70,54,FALSE
10/09/1949,67,53,FALSE
11/09/1949,68,45,FALSE
12/09/1949,76,44,FALSE
13/09/1949,79,47,FALSE
14/09/1949,61,52,TRUE
15/09/1949,60,51,TRUE
16/09/1949,62,48,TRUE
17/09/1949,61,47,FALSE
18/09/1949,63,51,TRUE
19/09/1949,62,49,TRUE
20/09/1949,65,40,FALSE
21/09/1949,68,46,FALSE
22/09/1949,73,44,FALSE
23/09/1949,73,46,FALSE
24/09/1949,60,51,FALSE
25/09/1949,66,51,FALSE
26/09/1949,77,46,FALSE
27/09/1949,82,50,FALSE
28/09/1949,64,54,FALSE
29/09/1949,65,55,FALSE
30/09/1949,60,49,TRUE
01/10/1949,65,49,FALSE
02/10/1949,65,43,FALSE
03/10/1949,56,39,TRUE
04/10/1949,54,47,TRUE
05/10/1949,61,44,FALSE
06/10/1949,53,42,TRUE
07/10/1949,57,41,TRUE
08/10/1949,53,39,FALSE
09/10/1949,60,43,TRUE
10/10/1949,56,41,TRUE
11/10/1949,59,46,TRUE
12/10/1949,60,43,FALSE
13/10/1949,57,37,FALSE
14/10/1949,63,36,FALSE
15/10/1949,59,42,TRUE
16/10/1949,53,41,FALSE
17/10/1949,51,34,TRUE
18/10/1949,48,32,FALSE
19/10/1949,50,28,FALSE
20/10/1949,53,29,FALSE
21/10/1949,55,32,FALSE
22/10/1949,60,39,FALSE
23/10/1949,47,41,FALSE
