Location,Person Count,Vehicle Count,Injuries,Date,Hit Parked Car
LAKE WASHINGTON BLVD E BETWEEN E MADISON ST AND ARBORETUM DR E,2,2,0,10/05/2013,N
GREENWOOD AVE N BETWEEN HOLMAN RD N AND N 107TH ST,3,3,1,06/05/2015,N
35TH AVE NE AND NE 95TH ST,3,3,2,22/09/2009,N
BOREN AVE AND OLIVE WAY,3,2,0,30/05/2015,N
38TH AVE SW AND SW HINDS ST,3,2,0,29/05/2009,N
35TH AVE SW AND SW HENDERSON ST,2,1,1,18/02/2005,N
15TH AVE S BETWEEN S PLUM ST AND S HILL ST,2,2,0,01/01/2014,N
40TH AVE SW AND FAUNTLEROY N WAY SW,5,2,0,10/09/2010,N
1ST AVE S AND S LUCILE ST,2,1,1,27/04/2006,N
,1,0,0,09/01/2013,N
8TH AVE AND SENECA ST,2,2,0,13/10/2014,N
11TH AVE AND E MADISON ST,2,0,0,02/05/2013,N
RAINIER AVE S BETWEEN S BAYVIEW ST AND S MCCLELLAN ST,2,2,1,04/10/2016,N
S FINDLAY ST BETWEEN 42ND AVE S AND RAINIER AVE S,2,2,0,29/01/2007,N
DENSMORE AVE N AND N 39TH ST,2,2,0,20/10/2008,N
15TH AVE NE BETWEEN NE 66TH ST AND NE 68TH S ST,3,2,0,16/03/2007,N
E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,3,2,3,14/09/2008,N
SW OREGON ST BETWEEN FAUNTLEROY WAY SW AND 38TH AVE SW,2,0,2,15/10/2012,N
1ST AVE BETWEEN PIKE ST AND PINE ST,9,3,5,18/10/2010,N
15TH AVE E BETWEEN E GARFIELD ST AND E OLIN S PL,2,2,1,06/11/2015,N
UNIVERSITY WAY NE BETWEEN NE 56TH ST AND NE RAVENNA EB BV,3,2,0,31/03/2013,N
S JACKSON ST BETWEEN 10TH AVE S AND 12TH AVE S,1,0,0,17/01/2013,N
,3,3,1,05/06/2010,N
RAINIER AVE S BETWEEN S MASSACHUSETTS ST AND S STATE ST,2,2,1,11/02/2006,N
LAKE CITY WAY NE BETWEEN NE 137TH ST AND NE 140TH ST,2,2,0,04/03/2015,N
STONE WAY N BETWEEN N 35TH ST AND N 36TH ST,5,3,1,06/12/2008,N
BELLEVUE AVE E BETWEEN E HARRISON ST AND E REPUBLICAN ST,2,2,0,23/03/2013,N
CORLISS AVE N AND N NORTHGATE WAY,2,2,0,31/07/2010,N
S MASSACHUSETTS ST BETWEEN 23RD AVE S AND 24TH AVE S,3,2,0,21/06/2006,N
NW 70TH ST BETWEEN 4TH AVE NW AND 5TH AVE NW,4,2,2,09/11/2012,N
E ALDER ST BETWEEN 11TH AVE AND 12TH AVE,2,2,0,23/02/2009,N
DELRIDGE WAY SW BETWEEN DELRIDGE-W SEATTLE BR EB ON RP AND SW ANDOVER ST,3,2,0,30/05/2008,N
CEDAR ST BETWEEN 1ST AVE AND 2ND AVE,2,2,0,13/10/2012,N
RAINIER AVE S AND S MASSACHUSETTS ST,5,2,0,28/07/2012,N
48TH AVE SW BETWEEN SW OREGON ST AND SW ALASKA ST,2,2,0,02/04/2016,N
RENTON AVE S AND S TRENTON ST,2,2,0,21/08/2009,N
SW SPOKANE BR BETWEEN SW SPOKANE E ST AND SW SPOKANE W ST,3,2,3,13/07/2013,N
29TH AVE S BETWEEN S DEARBORN W ST AND S CHARLES ST,2,2,0,31/08/2012,N
N 36TH ST BETWEEN PHINNEY AVE N AND FRANCIS AVE N,2,2,0,06/09/2011,N
N 85TH ST BETWEEN AURORA AVE N AND NESBIT AVE N,1,1,1,05/03/2006,N
E MILLER ST BETWEEN BROADWAY E AND 10TH AVE E,2,2,0,09/02/2005,N
1ST AVE N AND MERCER ST,2,2,0,14/05/2011,N
SW TRENTON ST BETWEEN 9TH AVE SW AND 10TH AVE SW,2,2,0,22/06/2006,N
NE 50TH ST BETWEEN 9TH AVE NE AND ROOSEVELT WAY NE,0,0,0,04/08/2015,N
4TH AVE AND MARION ST,0,0,0,07/10/2013,N
EAST MARGINAL WAY S BETWEEN S IDAHO ST AND DIAGONAL AVE S,2,2,0,23/10/2014,N
DENNY WAY AND WESTLAKE AVE,2,2,0,09/12/2008,N
1ST AVE NW BETWEEN DEAD END 2 AND NW 103RD ST,2,2,0,25/05/2012,N
MELROSE AVE BETWEEN YALE AVE AND OLIVE WAY,1,1,0,10/10/2016,N
10TH AVE E AND E JOHN ST,2,2,0,27/12/2006,N
GREENWOOD AVE N BETWEEN RIDGEMONT WAY N AND N 125TH ST,1,1,0,06/01/2007,N
N 107TH ST BETWEEN STONE AVE N AND INTERLAKE AVE N,1,1,0,22/04/2013,N
